Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1975, 1977]	а егоров	Q2367916	Михаил Алексеевич Егоров	P570	дата смерти	0	0.0	1975-06-20	0	0	0
[1979, 1981]	а елисеев	Q381541	Алексей Станиславович Елисеев	P166	полученные награды	Государственная премия СССР	0.0	0	0	0	1980-01-01
[1987, 1993]	а еременко	Q353074	Роман Алексеевич Ерёменко	P569	дата рождения	0	0.0	1987-03-19	0	0	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	Лечче	0.0	0	2004-01-01	2006-01-01	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	Йокерит	0.0	0	2001-01-01	2001-01-01	0
[2001, 2005]	а еременко	Q353074	Роман Алексеевич Ерёменко	P54	член спортивной команды	Gamlakarleby BK	0.0	0	2004-01-01	2004-01-01	0
[2001, 2005]	а еременко	Q353074	Роман Алексеевич Ерёменко	P54	член спортивной команды	Яро	0.0	0	2004-01-01	2005-01-01	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	Молодёжная сборная Финляндии по футболу	0.0	0	2003-01-01	2003-01-01	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	Сборная Финляндии по футболу	0.0	0	2003-01-01	2013-01-01	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	Виикингит (футбольный клуб)	0.0	0	2002-01-01	2002-01-01	0
[2001, 2005]	а еременко	Q359440	Ерёменко, Алексей Алексеевич	P54	член спортивной команды	ХИК	0.0	0	2002-01-01	2004-01-01	0
[1949, 1950]	а эйнштейн	Q937	Альберт Эйнштейн	P166	полученные награды	почётный доктор Еврейского университета в Иерусалиме	0.0	0	0	0	1949-01-01
[1992, 1997]	а эльчибей	Q319912	Эльчибей, Абульфаз Гадиргулу оглы	P39	занимаемая должность	президент Азербайджана	0.0	0	1992-06-16	1993-09-01	0
[1964, 1965]	аэродром местный	Q4491406	Фоллбрук (аэропорт, Калифорния)	P571	дата основания/создания/возникновения	0	0.0	1964-01-11	0	0	0
[2003, 2009]	аэропорт внуково	Q4073690	Аэропорт Внуково	P1619	дата официального открытия	0	0.0	2005-08-07	0	0	0
[1961, 1970]	аэропорт домодедово	Q4073692	Аэропорт Домодедово	P1619	дата официального открытия	0	0.0	1965-01-01	0	0	0
[1961, 1970]	аэропорт домодедово	Q186614	Домодедово	P1619	дата официального открытия	0	0.0	1962-04-07	0	0	0
[1968, 1975]	аэропорт имя	Q181479	аэропорт имени Бен-Гуриона	P138	названо в честь	Давид Бен-Гурион	0.0	0	1973-01-01	0	0
